Authors,Title,Year,Source title,Volume,Issue,Page start,Cited by,DOI,Affiliations,Abstract,Author Keywords,References,Document Type,Language of Original Document,Publisher,ISSN
Zeta C.; Teta B.; Beta A.; Beta C.,Measuring Fiscal equalization across municipalities: Tax reform and Intergovernmental transfers [registro sintetico 010],1998,Revista de Administracao Publica,1,1,1,4,10.5555/exemplo.0010,"Georgia State University, Atlanta, United States","Resumo sintetico para teste do pipeline. Trata de subnational debt, tax competition em entes subnacionais.",subnational debt; tax competition; fiscal decentralization,"IOTA D., 1976, JOURNAL OF PUBLIC ECONOMICS, V24, P378; TETA A., 1990, PUBLIUS: THE JOURNAL OF FEDERALISM, V16, P321; ETA A., 1982, NATIONAL TAX JOURNAL, V30, P33; ALFA C., 1976, NOVA ECONOMIA, V5, P311; ZETA C., 1978, JOURNAL OF PUBLIC ECONOMICS, V40, P23; EPSILON F., 1992, NOVA ECONOMIA, V21, P142; EPSILON A., 1993, GESTION Y POLITICA PUBLICA, V39, P325; BETA A., 1996, INTERNATIONAL TAX AND PUBLIC FINANCE, V7, P244; TETA D., 1995, JOURNAL OF PUBLIC ECONOMICS, V59, P221; TETA B., 1985, INTERNATIONAL TAX AND PUBLIC FINANCE, V1, P379; EPSILON F., 1994, INTERNATIONAL TAX AND PUBLIC FINANCE, V39, P121; ZETA C., 1984, JOURNAL OF PUBLIC ECONOMICS, V51, P306; BETA E., 1976, PUBLIUS: THE JOURNAL OF FEDERALISM, V49, P82; DELTA D., 1972, NOVA ECONOMIA, V3, P247; IOTA E., 1980, INTERNATIONAL TAX AND PUBLIC FINANCE, V28, P54; BETA C., 1989, NATIONAL TAX JOURNAL, V14, P50; ETA D., 1992, PUBLIUS: THE JOURNAL OF FEDERALISM, V12, P120; GAMA D., 1984, REVISTA DE ADMINISTRACAO PUBLICA, V58, P346; DELTA F., 1987, GESTION Y POLITICA PUBLICA, V50, P341",Article,English,Editora Sintetica,00347612
Epsilon C.; Kapa C.; Zeta C.,Measuring Tax competition across municipalities: Municipal finance and Intergovernmental transfers [registro sintetico 011],2022,International Tax and Public Finance,1,1,1,3,10.5555/exemplo.0011,"Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de local government, revenue sharing em entes subnacionais.",local government; revenue sharing; fiscal capacity; tax reform; intergovernmental transfers,"IOTA B., 2012, GESTION Y POLITICA PUBLICA, V7, P335; TETA A., 1995, NATIONAL TAX JOURNAL, V31, P119; TETA C., 1993, JOURNAL OF PUBLIC ECONOMICS, V15, P62; ALFA B., 2011, GESTION Y POLITICA PUBLICA, V38, P100; BETA C., 2008, GESTION Y POLITICA PUBLICA, V12, P230; KAPA C., 2016, GESTION Y POLITICA PUBLICA, V43, P4; BETA F., 2011, NOVA ECONOMIA, V40, P180; DELTA A., 2003, JOURNAL OF PUBLIC ECONOMICS, V10, P23; DELTA C., 1993, REVISTA DE ADMINISTRACAO PUBLICA, V47, P334; DELTA A., 2018, JOURNAL OF PUBLIC ECONOMICS, V27, P348; ZETA B., 2011, JOURNAL OF PUBLIC ECONOMICS, V5, P105; ALFA D., 2009, PUBLIUS: THE JOURNAL OF FEDERALISM, V5, P209; BETA D., 2013, REVISTA DE ADMINISTRACAO PUBLICA, V10, P328; IOTA A., 2012, INTERNATIONAL TAX AND PUBLIC FINANCE, V26, P357; EPSILON D., 2001, NOVA ECONOMIA, V20, P214; ALFA C., 2015, REVISTA DE ADMINISTRACAO PUBLICA, V57, P183; ETA D., 1992, GESTION Y POLITICA PUBLICA, V50, P187; DELTA D., 2015, PUBLIUS: THE JOURNAL OF FEDERALISM, V14, P4; ETA B., 2005, NATIONAL TAX JOURNAL, V53, P47; ETA E., 2020, JOURNAL OF PUBLIC ECONOMICS, V30, P396; GAMA B., 1992, NATIONAL TAX JOURNAL, V36, P73; ETA A., 2010, REVISTA DE ADMINISTRACAO PUBLICA, V60, P190; IOTA B., 1996, JOURNAL OF PUBLIC ECONOMICS, V19, P83; IOTA B., 2021, NATIONAL TAX JOURNAL, V7, P197",Article,English,Editora Sintetica,09275940
Epsilon B.; Alfa D.,The political economy of State capacity: Tax competition and the role of Brazil [registro sintetico 012],2016,National Tax Journal,1,1,1,4,10.5555/exemplo.0012,"Universidad Nacional Autonoma de Mexico, Mexico","Resumo sintetico para teste do pipeline. Trata de fiscal federalism, fiscal equalization em entes subnacionais.",fiscal federalism; fiscal equalization; municipal finance; tax competition,"IOTA B., 1998, JOURNAL OF PUBLIC ECONOMICS, V8, P77; DELTA F., 2012, INTERNATIONAL TAX AND PUBLIC FINANCE, V3, P288; ALFA F., 2012, JOURNAL OF PUBLIC ECONOMICS, V8, P200; KAPA D., 2003, GESTION Y POLITICA PUBLICA, V41, P399; EPSILON F., 1999, JOURNAL OF PUBLIC ECONOMICS, V38, P128; ETA D., 2007, JOURNAL OF PUBLIC ECONOMICS, V29, P258; TETA B., 1986, NATIONAL TAX JOURNAL, V40, P251; TETA B., 2000, GESTION Y POLITICA PUBLICA, V40, P400; TETA B., 2011, PUBLIUS: THE JOURNAL OF FEDERALISM, V26, P55; BETA B., 1997, PUBLIUS: THE JOURNAL OF FEDERALISM, V24, P47; TETA E., 2002, NOVA ECONOMIA, V3, P21; GAMA A., 2015, NOVA ECONOMIA, V21, P399; IOTA A., 1987, GESTION Y POLITICA PUBLICA, V33, P194; GAMA A., 2013, NATIONAL TAX JOURNAL, V40, P375; BETA B., 1990, PUBLIUS: THE JOURNAL OF FEDERALISM, V19, P85; DELTA A., 2012, JOURNAL OF PUBLIC ECONOMICS, V40, P388; EPSILON B., 1996, REVISTA DE ADMINISTRACAO PUBLICA, V18, P234; GAMA C., 2002, PUBLIUS: THE JOURNAL OF FEDERALISM, V14, P304; EPSILON E., 2002, INTERNATIONAL TAX AND PUBLIC FINANCE, V21, P191; ALFA B., 1991, PUBLIUS: THE JOURNAL OF FEDERALISM, V11, P326",Article,English,Editora Sintetica,00280283
Eta B.; Epsilon A.; Iota A.,Soft budget constraint revisited: Tax effort under State capacity [registro sintetico 013],2025,Revista de Administracao Publica,1,1,1,0,10.5555/exemplo.0013,"University of Toronto, Toronto, Canada","Resumo sintetico para teste do pipeline. Trata de tax reform, subnational debt em entes subnacionais.",tax reform; subnational debt; fiscal capacity; tax effort; soft budget constraint,"DELTA B., 2014, NOVA ECONOMIA, V4, P152; IOTA C., 2004, NOVA ECONOMIA, V56, P300; ZETA F., 1995, NOVA ECONOMIA, V3, P114; GAMA C., 2014, NOVA ECONOMIA, V28, P214; IOTA C., 2023, NATIONAL TAX JOURNAL, V9, P251; DELTA E., 2015, NATIONAL TAX JOURNAL, V2, P28; ALFA E., 2006, JOURNAL OF PUBLIC ECONOMICS, V7, P268; ZETA E., 2002, PUBLIUS: THE JOURNAL OF FEDERALISM, V38, P155; KAPA B., 2001, JOURNAL OF PUBLIC ECONOMICS, V40, P244; GAMA B., 1995, GESTION Y POLITICA PUBLICA, V16, P363; GAMA D., 1998, NATIONAL TAX JOURNAL, V41, P75; EPSILON D., 2020, JOURNAL OF PUBLIC ECONOMICS, V1, P29; IOTA C., 2014, NOVA ECONOMIA, V38, P228; KAPA E., 2018, PUBLIUS: THE JOURNAL OF FEDERALISM, V16, P85; ALFA A., 1996, REVISTA DE ADMINISTRACAO PUBLICA, V2, P208; GAMA B., 2000, NATIONAL TAX JOURNAL, V59, P399; BETA A., 2014, REVISTA DE ADMINISTRACAO PUBLICA, V43, P101; GAMA D., 2001, REVISTA DE ADMINISTRACAO PUBLICA, V39, P330; IOTA F., 2015, PUBLIUS: THE JOURNAL OF FEDERALISM, V53, P314; GAMA E., 2004, NATIONAL TAX JOURNAL, V20, P321; ALFA F., 2020, PUBLIUS: THE JOURNAL OF FEDERALISM, V46, P276; ALFA D., 2022, PUBLIUS: THE JOURNAL OF FEDERALISM, V48, P239",Article,English,Editora Sintetica,00347612
Gama B.; Beta C.; Delta F.; Alfa A.,Argentina revisited: Tax effort under Fiscal equalization [registro sintetico 014],2002,Nova Economia,1,1,1,42,10.5555/exemplo.0014,"University of Toronto, Toronto, Canada","Resumo sintetico para teste do pipeline. Trata de regional inequality, soft budget constraint em entes subnacionais.",regional inequality; soft budget constraint; tax reform; local government,"BETA E., 1972, INTERNATIONAL TAX AND PUBLIC FINANCE, V17, P121; DELTA B., 1995, JOURNAL OF PUBLIC ECONOMICS, V13, P200; ZETA E., 1979, PUBLIUS: THE JOURNAL OF FEDERALISM, V59, P323; IOTA D., 1987, GESTION Y POLITICA PUBLICA, V34, P358; ALFA A., 1985, NOVA ECONOMIA, V15, P293; EPSILON B., 1984, REVISTA DE ADMINISTRACAO PUBLICA, V38, P40; KAPA B., 1976, NATIONAL TAX JOURNAL, V2, P58; BETA E., 2001, INTERNATIONAL TAX AND PUBLIC FINANCE, V23, P73; ALFA A., 1973, INTERNATIONAL TAX AND PUBLIC FINANCE, V45, P330; ALFA F., 1974, NOVA ECONOMIA, V3, P34; KAPA C., 1978, GESTION Y POLITICA PUBLICA, V53, P274; BETA F., 2002, PUBLIUS: THE JOURNAL OF FEDERALISM, V7, P127; DELTA B., 1975, NATIONAL TAX JOURNAL, V3, P386; BETA F., 1992, JOURNAL OF PUBLIC ECONOMICS, V31, P52",Article,English,Editora Sintetica,01036351
Epsilon C.; Zeta D.,Fiscal equalization revisited: Fiscal federalism under Tax reform [registro sintetico 015],2005,National Tax Journal,1,1,1,2,10.5555/exemplo.0015,"University of Toronto, Toronto, Canada; Universidad de Buenos Aires, Buenos Aires, Argentina","Resumo sintetico para teste do pipeline. Trata de fiscal federalism, subnational debt em entes subnacionais.",fiscal federalism; subnational debt; local government; state capacity,"ZETA D., 1997, NATIONAL TAX JOURNAL, V35, P290; DELTA F., 2002, GESTION Y POLITICA PUBLICA, V6, P295; EPSILON B., 1988, NATIONAL TAX JOURNAL, V34, P104; EPSILON A., 1975, JOURNAL OF PUBLIC ECONOMICS, V32, P49; TETA F., 2000, GESTION Y POLITICA PUBLICA, V12, P254; KAPA C., 2005, GESTION Y POLITICA PUBLICA, V33, P134; KAPA B., 1984, GESTION Y POLITICA PUBLICA, V14, P359; DELTA D., 1980, NATIONAL TAX JOURNAL, V41, P393; BETA D., 2000, NOVA ECONOMIA, V36, P54; ZETA C., 1978, PUBLIUS: THE JOURNAL OF FEDERALISM, V60, P203; BETA D., 2003, NOVA ECONOMIA, V2, P191",Article,English,Editora Sintetica,00280283
Eta E.; Iota B.; Eta F.,Measuring Argentina across municipalities: Local government and Regional inequality [registro sintetico 016],2008,Revista de Administracao Publica,1,1,1,33,10.5555/exemplo.0016,"University of Toronto, Toronto, Canada","Resumo sintetico para teste do pipeline. Trata de fiscal capacity, intergovernmental transfers em entes subnacionais.",fiscal capacity; intergovernmental transfers; tax effort,"TETA D., 2000, GESTION Y POLITICA PUBLICA, V17, P297; DELTA B., 1988, PUBLIUS: THE JOURNAL OF FEDERALISM, V42, P357; DELTA E., 1984, JOURNAL OF PUBLIC ECONOMICS, V20, P387; KAPA B., 2001, INTERNATIONAL TAX AND PUBLIC FINANCE, V16, P371; ZETA E., 1994, JOURNAL OF PUBLIC ECONOMICS, V11, P121; ZETA B., 1986, NOVA ECONOMIA, V7, P85; BETA B., 1990, INTERNATIONAL TAX AND PUBLIC FINANCE, V10, P155; EPSILON D., 1986, INTERNATIONAL TAX AND PUBLIC FINANCE, V7, P327; BETA C., 1984, PUBLIUS: THE JOURNAL OF FEDERALISM, V30, P18; ALFA D., 2005, GESTION Y POLITICA PUBLICA, V28, P356; DELTA E., 1998, JOURNAL OF PUBLIC ECONOMICS, V30, P12; GAMA C., 1997, NOVA ECONOMIA, V26, P3; DELTA D., 2000, REVISTA DE ADMINISTRACAO PUBLICA, V38, P384",Article,English,Editora Sintetica,00347612
Kapa B.; Gama F.,The political economy of State capacity: Subnational debt and the role of Tax effort [registro sintetico 017],2020,Journal of Public Economics,1,1,1,0,10.5555/exemplo.0017,"Georgia State University, Atlanta, United States","Resumo sintetico para teste do pipeline. Trata de fiscal capacity, tax competition em entes subnacionais.",fiscal capacity; tax competition; subnational debt,"GAMA F., 2000, GESTION Y POLITICA PUBLICA, V1, P200; TETA A., 1991, JOURNAL OF PUBLIC ECONOMICS, V35, P112; GAMA F., 2015, INTERNATIONAL TAX AND PUBLIC FINANCE, V34, P179; BETA E., 2004, REVISTA DE ADMINISTRACAO PUBLICA, V14, P368; TETA E., 1990, NOVA ECONOMIA, V51, P190; IOTA C., 2003, NOVA ECONOMIA, V30, P108; GAMA D., 2006, GESTION Y POLITICA PUBLICA, V60, P63; KAPA C., 2010, NATIONAL TAX JOURNAL, V17, P141; ETA D., 1991, NATIONAL TAX JOURNAL, V5, P215; ETA F., 2012, NOVA ECONOMIA, V23, P298; EPSILON A., 1997, JOURNAL OF PUBLIC ECONOMICS, V48, P206; IOTA B., 2015, PUBLIUS: THE JOURNAL OF FEDERALISM, V30, P109; GAMA B., 2019, GESTION Y POLITICA PUBLICA, V5, P325; DELTA D., 2010, REVISTA DE ADMINISTRACAO PUBLICA, V47, P116; GAMA C., 2011, NOVA ECONOMIA, V54, P212; TETA C., 2014, REVISTA DE ADMINISTRACAO PUBLICA, V42, P65; TETA C., 2015, GESTION Y POLITICA PUBLICA, V15, P137; ETA F., 1998, PUBLIUS: THE JOURNAL OF FEDERALISM, V44, P96; TETA A., 2015, NOVA ECONOMIA, V52, P144; ZETA B., 2010, JOURNAL OF PUBLIC ECONOMICS, V21, P246; TETA D., 2009, NOVA ECONOMIA, V6, P338; ZETA B., 2019, JOURNAL OF PUBLIC ECONOMICS, V55, P198; ALFA A., 2016, REVISTA DE ADMINISTRACAO PUBLICA, V58, P167; GAMA E., 2016, JOURNAL OF PUBLIC ECONOMICS, V41, P299",Article,English,Editora Sintetica,00472727
Delta A.,Soft budget constraint revisited: Local government under Tax competition [registro sintetico 018],1996,International Tax and Public Finance,1,1,1,12,10.5555/exemplo.0018,"Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de local government, regional inequality em entes subnacionais.",local government; regional inequality; fiscal equalization; fiscal decentralization; state capacity,"BETA F., 1987, GESTION Y POLITICA PUBLICA, V41, P153; DELTA D., 1992, INTERNATIONAL TAX AND PUBLIC FINANCE, V34, P41; TETA F., 1973, REVISTA DE ADMINISTRACAO PUBLICA, V8, P136; ETA B., 1996, INTERNATIONAL TAX AND PUBLIC FINANCE, V31, P253; IOTA A., 1985, PUBLIUS: THE JOURNAL OF FEDERALISM, V58, P74; TETA B., 1985, INTERNATIONAL TAX AND PUBLIC FINANCE, V35, P307; ALFA B., 1996, JOURNAL OF PUBLIC ECONOMICS, V30, P357; KAPA D., 1991, JOURNAL OF PUBLIC ECONOMICS, V54, P239; ZETA D., 1983, NOVA ECONOMIA, V5, P93; ZETA F., 1990, NATIONAL TAX JOURNAL, V2, P313; ALFA F., 1993, JOURNAL OF PUBLIC ECONOMICS, V52, P49; IOTA D., 1985, GESTION Y POLITICA PUBLICA, V58, P74; ALFA B., 1992, PUBLIUS: THE JOURNAL OF FEDERALISM, V41, P65; ZETA A., 1991, JOURNAL OF PUBLIC ECONOMICS, V22, P243; IOTA E., 1994, INTERNATIONAL TAX AND PUBLIC FINANCE, V19, P223; ZETA D., 1978, REVISTA DE ADMINISTRACAO PUBLICA, V4, P149; EPSILON C., 1996, PUBLIUS: THE JOURNAL OF FEDERALISM, V26, P171; IOTA C., 1986, JOURNAL OF PUBLIC ECONOMICS, V14, P336; TETA A., 1980, INTERNATIONAL TAX AND PUBLIC FINANCE, V21, P366; EPSILON B., 1988, NOVA ECONOMIA, V6, P21; ETA F., 1987, PUBLIUS: THE JOURNAL OF FEDERALISM, V35, P294; ALFA D., 1979, NATIONAL TAX JOURNAL, V1, P24; DELTA D., 1989, GESTION Y POLITICA PUBLICA, V43, P31; IOTA E., 1989, PUBLIUS: THE JOURNAL OF FEDERALISM, V40, P76; KAPA F., 1972, INTERNATIONAL TAX AND PUBLIC FINANCE, V3, P342; TETA F., 1994, INTERNATIONAL TAX AND PUBLIC FINANCE, V7, P340; GAMA A., 1983, GESTION Y POLITICA PUBLICA, V7, P336",Article,English,Editora Sintetica,09275940
Epsilon E.; Epsilon C.,Brazil and Argentina in subnational governments: evidence from Fiscal decentralization [registro sintetico 019],1996,National Tax Journal,1,1,1,102,10.5555/exemplo.0019,"Universidad de Buenos Aires, Buenos Aires, Argentina; Universidad Nacional Autonoma de Mexico, Mexico","Resumo sintetico para teste do pipeline. Trata de tax competition, fiscal federalism em entes subnacionais.",tax competition; fiscal federalism; subnational debt,"KAPA F., 1982, PUBLIUS: THE JOURNAL OF FEDERALISM, V5, P8; ETA E., 1988, NOVA ECONOMIA, V10, P244; ETA E., 1973, NATIONAL TAX JOURNAL, V42, P242; DELTA B., 1990, NATIONAL TAX JOURNAL, V28, P3; ALFA F., 1991, NATIONAL TAX JOURNAL, V55, P46; DELTA A., 1974, PUBLIUS: THE JOURNAL OF FEDERALISM, V2, P142; KAPA B., 1984, NOVA ECONOMIA, V48, P96; ALFA C., 1994, NOVA ECONOMIA, V46, P356; GAMA F., 1994, NATIONAL TAX JOURNAL, V19, P322; IOTA F., 1985, PUBLIUS: THE JOURNAL OF FEDERALISM, V43, P131; ALFA F., 1971, NATIONAL TAX JOURNAL, V4, P8; KAPA A., 1982, JOURNAL OF PUBLIC ECONOMICS, V20, P374; KAPA B., 1996, PUBLIUS: THE JOURNAL OF FEDERALISM, V39, P31; ZETA C., 1988, NOVA ECONOMIA, V29, P241; GAMA B., 1995, NATIONAL TAX JOURNAL, V24, P331; GAMA F., 1995, PUBLIUS: THE JOURNAL OF FEDERALISM, V31, P198; TETA C., 1995, GESTION Y POLITICA PUBLICA, V37, P171; EPSILON C., 1971, REVISTA DE ADMINISTRACAO PUBLICA, V42, P361; KAPA C., 1989, NOVA ECONOMIA, V1, P78; KAPA C., 1988, PUBLIUS: THE JOURNAL OF FEDERALISM, V57, P127; ETA D., 1991, PUBLIUS: THE JOURNAL OF FEDERALISM, V39, P395",Article,English,Editora Sintetica,00280283
Epsilon F.; Alfa C.; Epsilon C.; Eta B.,The political economy of Tax effort: Brazil and the role of Soft budget constraint [registro sintetico 020],2024,Gestion y Politica Publica,1,1,1,2,10.5555/exemplo.0020,"Universidad de Buenos Aires, Buenos Aires, Argentina","Resumo sintetico para teste do pipeline. Trata de regional inequality, tax reform em entes subnacionais.",regional inequality; tax reform; state capacity; fiscal federalism; local government,"ETA B., 2019, GESTION Y POLITICA PUBLICA, V47, P120; EPSILON E., 1995, NOVA ECONOMIA, V26, P239; DELTA C., 2012, GESTION Y POLITICA PUBLICA, V1, P198; TETA E., 1996, REVISTA DE ADMINISTRACAO PUBLICA, V52, P182; BETA B., 2006, REVISTA DE ADMINISTRACAO PUBLICA, V34, P133; IOTA C., 2009, REVISTA DE ADMINISTRACAO PUBLICA, V38, P104; DELTA B., 2000, NATIONAL TAX JOURNAL, V12, P359; EPSILON C., 2012, REVISTA DE ADMINISTRACAO PUBLICA, V23, P207; IOTA B., 2001, NATIONAL TAX JOURNAL, V60, P253; ZETA A., 2005, NOVA ECONOMIA, V30, P42; GAMA C., 2013, NATIONAL TAX JOURNAL, V23, P144; IOTA E., 1994, NATIONAL TAX JOURNAL, V3, P105; KAPA D., 2012, REVISTA DE ADMINISTRACAO PUBLICA, V14, P134; EPSILON D., 1997, PUBLIUS: THE JOURNAL OF FEDERALISM, V50, P304; KAPA B., 2002, GESTION Y POLITICA PUBLICA, V3, P174; DELTA B., 2006, NATIONAL TAX JOURNAL, V2, P27; ALFA E., 2005, GESTION Y POLITICA PUBLICA, V46, P235; TETA A., 2021, REVISTA DE ADMINISTRACAO PUBLICA, V41, P204; BETA F., 2024, NATIONAL TAX JOURNAL, V17, P164; KAPA B., 2014, NATIONAL TAX JOURNAL, V59, P343; IOTA D., 1999, PUBLIUS: THE JOURNAL OF FEDERALISM, V55, P82; ZETA B., 2017, INTERNATIONAL TAX AND PUBLIC FINANCE, V12, P20; EPSILON C., 1995, REVISTA DE ADMINISTRACAO PUBLICA, V58, P15",Article,English,Editora Sintetica,14054981
Epsilon E.,Tax competition and Fiscal equalization in subnational governments: evidence from Regional inequality [registro sintetico 021],2023,National Tax Journal,1,1,1,2,10.5555/exemplo.0021,"University of Toronto, Toronto, Canada","Resumo sintetico para teste do pipeline. Trata de soft budget constraint, municipal finance em entes subnacionais.",soft budget constraint; municipal finance; state capacity; fiscal capacity; fiscal federalism,"ZETA D., 2005, INTERNATIONAL TAX AND PUBLIC FINANCE, V29, P123; GAMA F., 2021, NATIONAL TAX JOURNAL, V30, P368; DELTA A., 1998, GESTION Y POLITICA PUBLICA, V15, P40; KAPA C., 2021, NOVA ECONOMIA, V9, P399; TETA A., 2022, PUBLIUS: THE JOURNAL OF FEDERALISM, V54, P12; BETA D., 2003, JOURNAL OF PUBLIC ECONOMICS, V53, P120; TETA A., 2013, JOURNAL OF PUBLIC ECONOMICS, V10, P170; DELTA F., 1994, INTERNATIONAL TAX AND PUBLIC FINANCE, V46, P232; IOTA B., 2007, GESTION Y POLITICA PUBLICA, V10, P137; ETA D., 2000, INTERNATIONAL TAX AND PUBLIC FINANCE, V2, P139; KAPA C., 2003, GESTION Y POLITICA PUBLICA, V11, P134",Article,English,Editora Sintetica,00280283
Teta D.; Beta B.; Iota A.,The political economy of Soft budget constraint: Tax reform and the role of Tax effort [registro sintetico 022],2016,Publius: The Journal of Federalism,1,1,1,2,10.5555/exemplo.0022,"Universidade Federal de Pernambuco, Recife, Brazil; University of Toronto, Toronto, Canada","Resumo sintetico para teste do pipeline. Trata de regional inequality, state capacity em entes subnacionais.",regional inequality; state capacity; municipal finance; revenue sharing; tax effort,"ALFA F., 1995, INTERNATIONAL TAX AND PUBLIC FINANCE, V41, P9; TETA E., 1996, REVISTA DE ADMINISTRACAO PUBLICA, V9, P227; ALFA E., 1995, INTERNATIONAL TAX AND PUBLIC FINANCE, V24, P223; ALFA D., 1992, JOURNAL OF PUBLIC ECONOMICS, V37, P93; GAMA B., 2002, GESTION Y POLITICA PUBLICA, V15, P365; GAMA B., 2005, NATIONAL TAX JOURNAL, V54, P45; KAPA F., 2001, GESTION Y POLITICA PUBLICA, V18, P90; DELTA B., 2005, NOVA ECONOMIA, V46, P322; DELTA E., 1995, INTERNATIONAL TAX AND PUBLIC FINANCE, V1, P34; IOTA D., 2012, NOVA ECONOMIA, V59, P29; IOTA C., 1996, JOURNAL OF PUBLIC ECONOMICS, V54, P328; TETA A., 1986, PUBLIUS: THE JOURNAL OF FEDERALISM, V59, P391; TETA B., 2013, NOVA ECONOMIA, V18, P128",Article,English,Editora Sintetica,00485950
Alfa B.; Zeta E.; Kapa A.,Measuring State capacity across municipalities: Fiscal decentralization and Fiscal equalization [registro sintetico 023],2007,National Tax Journal,1,1,1,83,10.5555/exemplo.0023,"Universidad Nacional Autonoma de Mexico, Mexico; Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de tax effort, fiscal capacity em entes subnacionais.",tax effort; fiscal capacity; regional inequality; fiscal decentralization,"TETA E., 1977, REVISTA DE ADMINISTRACAO PUBLICA, V52, P276; GAMA A., 1984, NATIONAL TAX JOURNAL, V15, P317; GAMA B., 1980, JOURNAL OF PUBLIC ECONOMICS, V17, P285; ALFA A., 1980, NOVA ECONOMIA, V48, P100; EPSILON A., 2003, REVISTA DE ADMINISTRACAO PUBLICA, V41, P296; TETA E., 1984, NOVA ECONOMIA, V29, P53; ZETA A., 1999, INTERNATIONAL TAX AND PUBLIC FINANCE, V3, P140; BETA D., 1992, REVISTA DE ADMINISTRACAO PUBLICA, V33, P390; EPSILON A., 1980, NATIONAL TAX JOURNAL, V26, P71; IOTA E., 1984, GESTION Y POLITICA PUBLICA, V15, P76; KAPA D., 2000, PUBLIUS: THE JOURNAL OF FEDERALISM, V11, P10; ETA F., 1990, REVISTA DE ADMINISTRACAO PUBLICA, V54, P309; IOTA A., 1989, NATIONAL TAX JOURNAL, V50, P186; ZETA D., 1984, GESTION Y POLITICA PUBLICA, V22, P367; ETA E., 2002, JOURNAL OF PUBLIC ECONOMICS, V53, P206; IOTA A., 1987, REVISTA DE ADMINISTRACAO PUBLICA, V10, P349; ZETA B., 2004, PUBLIUS: THE JOURNAL OF FEDERALISM, V43, P324; ALFA C., 1980, REVISTA DE ADMINISTRACAO PUBLICA, V12, P36; ZETA D., 1983, REVISTA DE ADMINISTRACAO PUBLICA, V43, P11; DELTA B., 1990, PUBLIUS: THE JOURNAL OF FEDERALISM, V50, P233; ALFA A., 1978, GESTION Y POLITICA PUBLICA, V42, P318; EPSILON F., 1996, JOURNAL OF PUBLIC ECONOMICS, V41, P278; ALFA E., 1980, JOURNAL OF PUBLIC ECONOMICS, V8, P267",Article,English,Editora Sintetica,00280283
Alfa C.; Beta C.,The political economy of Regional inequality: Revenue sharing and the role of Local government [registro sintetico 024],1996,Revista de Administracao Publica,1,1,1,142,10.5555/exemplo.0024,"Universidade Federal de Pernambuco, Recife, Brazil; Georgia State University, Atlanta, United States","Resumo sintetico para teste do pipeline. Trata de municipal finance, intergovernmental transfers em entes subnacionais.",municipal finance; intergovernmental transfers; fiscal decentralization; fiscal federalism,"EPSILON C., 1977, NOVA ECONOMIA, V6, P380; IOTA C., 1996, PUBLIUS: THE JOURNAL OF FEDERALISM, V40, P356; KAPA B., 1990, PUBLIUS: THE JOURNAL OF FEDERALISM, V13, P281; ZETA D., 1987, JOURNAL OF PUBLIC ECONOMICS, V40, P245; TETA C., 1970, INTERNATIONAL TAX AND PUBLIC FINANCE, V22, P114; DELTA E., 1987, PUBLIUS: THE JOURNAL OF FEDERALISM, V38, P203; ALFA C., 1975, GESTION Y POLITICA PUBLICA, V16, P166; IOTA C., 1985, JOURNAL OF PUBLIC ECONOMICS, V19, P111; EPSILON A., 1994, NATIONAL TAX JOURNAL, V11, P283; BETA E., 1981, PUBLIUS: THE JOURNAL OF FEDERALISM, V43, P32; IOTA D., 1996, PUBLIUS: THE JOURNAL OF FEDERALISM, V23, P377; BETA E., 1977, NOVA ECONOMIA, V48, P80; ETA C., 1991, JOURNAL OF PUBLIC ECONOMICS, V9, P346; DELTA E., 1989, GESTION Y POLITICA PUBLICA, V18, P266; BETA F., 1993, GESTION Y POLITICA PUBLICA, V31, P138; GAMA D., 1973, NATIONAL TAX JOURNAL, V27, P393; IOTA E., 1973, PUBLIUS: THE JOURNAL OF FEDERALISM, V26, P293; GAMA D., 1995, JOURNAL OF PUBLIC ECONOMICS, V56, P319; KAPA A., 1982, GESTION Y POLITICA PUBLICA, V29, P355; TETA C., 1993, JOURNAL OF PUBLIC ECONOMICS, V19, P181; ETA E., 1987, REVISTA DE ADMINISTRACAO PUBLICA, V25, P332; ZETA A., 1995, NOVA ECONOMIA, V55, P256; ETA D., 1979, INTERNATIONAL TAX AND PUBLIC FINANCE, V35, P156; GAMA D., 1988, PUBLIUS: THE JOURNAL OF FEDERALISM, V38, P119; BETA C., 1980, GESTION Y POLITICA PUBLICA, V39, P125; ZETA B., 1983, NATIONAL TAX JOURNAL, V2, P25",Article,English,Editora Sintetica,00347612
